model,prompt,vignette,predictor,Estimate,SE,z,p_value,p_adj
llama,acknowledge,3,prototypic_z,-0.0146819314264436,0.0831607860811267,-0.1765487331026529,0.8598628664157124,0.9380322179080498
llama,acknowledge,3,race_ambiguity_z,-0.25735561381127,0.2176611433540485,-1.1823681978581466,0.2370596361866392,0.4741192723732784
llama,acknowledge,3,age_rated_z,-0.0610908011621392,0.0733330721876221,-0.8330593460729269,0.4048112600872412,0.6022314936150012
llama,acknowledge,3,luminance_z,0.150114323775979,0.1848859596648718,0.8119292781781775,0.4168322132871159,0.6022314936150012
llama,acknowledge,3,raceB,0.0074921111177382,0.5575278035777756,0.0134380941536185,0.989278274841615,0.989278274841615
llama,acknowledge,3,raceI,1.0555089794442174,0.4282929692619935,2.4644555367392598,0.0137221587673137,0.11021598447946561
llama,acknowledge,3,raceL,-0.2373067238070117,0.3533628464334972,-0.6715667088437743,0.501859578012501,0.6022314936150012
llama,acknowledge,3,raceW,-0.3900752366895542,0.545874252488448,-0.7145880849139503,0.4748636094004161,0.6022314936150012
llama,acknowledge,3,genderM,0.2900054764266591,0.1613188227379652,1.7977162956223856,0.0722219777208562,0.2166659331625686
llama,ignore,3,threatening_z,-0.1291864349484522,0.1257539310178067,-1.0272954006516068,0.3042813874593498,0.6085627749186996
llama,ignore,3,trustworthy_z,0.0982260296344567,0.1383992961238152,0.7097292571963767,0.4778720454974063,0.637162727329875
llama,ignore,3,attractive_z,0.0294286451692198,0.1113668464492606,0.2642496048644756,0.791587589872834,0.791587589872834
llama,ignore,3,prototypic_z,-0.1120608507065831,0.0887085141902591,-1.2632479726381012,0.2065000773441533,0.49560018562596786
llama,ignore,3,race_ambiguity_z,-0.3911820044660962,0.2348241535823526,-1.6658508015399234,0.0957431347937989,0.3829725391751956
llama,ignore,3,age_rated_z,-0.0470019352910313,0.0760744888686096,-0.6178409607484798,0.5366801798160596,0.6440162157792716
llama,ignore,3,luminance_z,0.571095570905339,0.1994357745776514,2.8635563108712967,0.0041891434604776,0.0502697215257312
