Estimate,Std. Error,z value,Pr(>|z|),model,prompt,vignette,predictor
0.505791062204088,0.2691888102497962,1.8789453459626893,0.060251956260172636,qwen,baseline,2,race_ambiguity_z
0.09994091458376149,0.0828527377767797,1.2062475817397902,0.22772204237849966,qwen,baseline,2,age_rated_z
-0.2573548076984201,0.21403356153733438,-1.2024039867856384,0.22920704530343652,qwen,baseline,2,luminance_z
0.878392510651294,0.6669939784115817,1.3169421900076954,0.18785800305617728,qwen,baseline,2,raceB
0.16511086747413473,0.505055824841629,0.32691607413083246,0.7437313631105864,qwen,baseline,2,raceI
0.5410014607515693,0.42925398019301286,1.2603295151935678,0.20755051684058973,qwen,baseline,2,raceL
0.9789763780912862,0.6622851002631809,1.47817968077835,0.13935969105945714,qwen,baseline,2,raceW
0.24525222449378328,0.1911578391491352,1.2829828250069586,0.1994980933225899,qwen,baseline,2,genderM
0.08016089951908392,0.320614771154771,0.25002247784893133,0.8025699657479631,qwen,baseline,3,(Intercept)
-0.06269022093573758,0.1165579050815139,-0.5378461537370257,0.5906832653443278,qwen,baseline,3,threatening_z
-0.08408152938102677,0.12140279489074823,-0.6925831440428756,0.48857119144965266,qwen,baseline,3,trustworthy_z
-0.05022729209592007,0.10081140468222964,-0.49823025732299714,0.6183217583638461,qwen,baseline,3,attractive_z
0.03648537717948381,0.08104751094947421,0.4501727042824195,0.6525859163146535,qwen,baseline,3,prototypic_z
0.05255386616789715,0.21091467401483993,0.24917121776078732,0.8032283422993549,qwen,baseline,3,race_ambiguity_z
0.08487237273365413,0.07131393430632693,1.190123270567114,0.23399794521311926,qwen,baseline,3,age_rated_z
0.06462840125285663,0.17796491334311748,0.3631524890990881,0.7164909765024294,qwen,baseline,3,luminance_z
0.19220682044306378,0.5350085121257756,0.3592593689385595,0.7194010669740323,qwen,baseline,3,raceB
0.18811945515709722,0.4066654526978168,0.4625902050668765,0.6436581308499065,qwen,baseline,3,raceI
0.09691909065944027,0.34207859301968424,0.28332404493333274,0.7769284469097201,qwen,baseline,3,raceL
0.14816988661316116,0.5271705776586953,0.281066305466483,0.7786595441843327,qwen,baseline,3,raceW
-0.12002068405193028,0.15560954780504688,-0.7712938296196094,0.4405327889178635,qwen,baseline,3,genderM
4.0938415626029,1.0011038776140058,4.089327445579385,4.326257651568163e-05,qwen,baseline,4,(Intercept)
0.6814974514403828,0.34661831000810706,1.9661322895043924,0.04928333139718391,qwen,baseline,4,threatening_z
0.5787595007818159,0.3644883304321829,1.5878683964876634,0.11231610119563001,qwen,baseline,4,trustworthy_z
-0.2299251228968739,0.31554738895789053,-0.7286548104746231,0.4662128417888135,qwen,baseline,4,attractive_z
-0.0342522053314774,0.27138240835138483,-0.12621380118024372,0.8995626869679401,qwen,baseline,4,prototypic_z
-0.28594715473050275,0.6855798844097168,-0.4170880173602275,0.6766140292058307,qwen,baseline,4,race_ambiguity_z
-0.32445531391983623,0.18539356007275756,-1.7500894518261798,0.08010287960826631,qwen,baseline,4,age_rated_z
0.483115579279137,0.5986432810971682,0.8070174585334076,0.4196564247759899,qwen,baseline,4,luminance_z
